sample_id,doc_id,page_num,pred_page_num,element_id,label,omni_label,eval_label,bbox_raw,bbox,polygon,text,latex,html,reading_order,confidence,source_json,source_filename,page_width_pt,page_height_pt,page_width_px,page_height_px
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,1,p0001_b0007,paragraph,text_block,text,"[39.96000053769066, 512.6399848405705, 258.8400034828791, 536.0399841486021]","[110.99999999999999, 1424.0, 718.9999999999999, 1489.0]",,2. After IFN (the subset of features selected by the information-theoretic algorithm),,,7,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,544.3200073242188,743.0399780273438,1512,2064
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,1,p0001_b0008,paragraph,text_block,text,"[40.68000054737878, 536.3999841379565, 259.9200034974113, 607.3199820407601]","[112.99999999999999, 1490.0, 721.9999999999999, 1687.0]",,"3. After Relief (the subset of features selected by Relief). As suggested by Kira and Rendell (1992), the distinction between relevant and irrelevant features was performed manually, based on the relevance levels computed by Relief.",,,8,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,544.3200073242188,743.0399780273438,1512,2064
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,1,p0001_b0009,paragraph,text_block,text,"[39.6000005328466, 608.0399820194688, 260.64000350709944, 668.5199802309968]","[109.99999999999999, 1689.0, 723.9999999999999, 1857.0]",,"4. After ABB (the subset of features selected by ABB). Though ABB required discretization of every continuous feature, C4.5 was always trained on the original (continuous) values of the selected continuous features.
We have also evaluated the performance of the classification model built directly by IFN (see Section 2.3). This model is based on the same features as “C4.5 after IFN”, but the model structure may be different due to the IFN restriction of using the same feature at all splits of each layer. The error rate of all models has been measured on the same validation sets. We have also calculated the lower and upper bounds of the 95% confidence interval for the error rate of C4.5 with a full set of features and compared statistically the error rates after different feature selection methods to this “base” error rate. The comparison was based on the normal approximation of the binomial distribution.",,,9,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,544.3200073242188,743.0399780273438,1512,2064
docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76,docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76,1,1,p0001_b0005,paragraph,text_block,text,"[60.48, 739.08, 73.08, 749.16]","[167.99999999999997, 2053.0, 203.0, 2081.0]",,66,,,5,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76\paddle_vl_gpu\document.json,docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0001,paragraph,text_block,text,"[535.32, 33.12, 567.72, 44.28]","[535.32, 33.12, 567.72, 44.28]",,69425,,,1,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0012,paragraph,text_block,text,"[397.08, 138.6, 552.24, 160.56]","[397.08, 138.6, 552.24, 160.56]",,■ 1. The authority citation for part 17 continues to read as follows:,,,12,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0013,paragraph,text_block,text,"[396.71999999999997, 162.35999999999999, 555.12, 182.52]","[396.71999999999997, 162.35999999999999, 555.12, 182.52]",,Authority: 16 U.S.C. 1361–1407; 1531–1544; 4201–4245; unless otherwise noted.,,,13,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0015,heading,title,title,"[396.71999999999997, 240.48000000000002, 540.36, 261.0]","[396.71999999999997, 240.48000000000002, 540.36, 261.0]",,§ 17.11 Endangered and threatened wildlife.,,,15,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0016,paragraph,text_block,text,"[407.15999999999997, 270.36, 449.28000000000003, 282.96000000000004]","[407.15999999999997, 270.36, 449.28000000000003, 282.96000000000004]",,(h) * * *,,,16,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0018,paragraph,text_block,text,"[42.48, 412.92, 194.76, 476.64]","[42.48, 412.92, 194.76, 476.64]",,"Dated: September 26, 2016.
Stephen Guertin,
Acting Director, U.S. Fish and Wildlife Service.
[FR Doc. 2016-24138 Filed 10-5-16; 8:45 am]
BILLING CODE 4333-15-P",,,18,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0019,heading,title,title,"[42.48, 491.04, 190.08, 522.36]","[42.48, 491.04, 190.08, 522.36]",,"DEPARTMENT OF THE INTERIOR
Fish and Wildlife Service",,,19,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0020,paragraph,text_block,text,"[43.2, 529.2, 110.52000000000001, 541.08]","[43.2, 529.2, 110.52000000000001, 541.08]",,50 CFR Part 17,,,20,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0021,paragraph,text_block,text,"[43.2, 544.3199999999999, 96.48, 555.8399999999999]","[43.2, 544.3199999999999, 96.48, 555.8399999999999]",,[4500090022],,,21,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,p0001_b0022,paragraph,text_block,text,"[42.84, 561.24, 201.6, 603.72]","[42.84, 561.24, 201.6, 603.72]",,Endangered and Threatened Wildlife and Plants; 12-Month Findings on Petitions To List 10 Species as Endangered or Threatened Species,,,22,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1\paddle_vl_gpu\document.json,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0000,paragraph,text_block,text,"[43.92, 33.12, 77.04, 44.28]","[43.92, 33.12, 77.04, 44.28]",,39810,,,0,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0009,paragraph,text_block,text,"[42.48, 336.59999999999997, 212.76, 376.2]","[42.48, 336.59999999999997, 212.76, 376.2]",,1. The Commission establishes Docket Nos. MC2015–61 and CP2015–92 to consider the matters raised in each docket.,,,9,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0010,paragraph,text_block,text,"[42.84, 376.2, 210.23999999999998, 436.32]","[42.84, 376.2, 210.23999999999998, 436.32]",,"2. Pursuant to 39 U.S.C. 505, Kenneth R. Moeller is appointed to serve as an officer of the Commission to represent the interests of the general public in these proceedings (Public Representative).",,,10,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0011,paragraph,text_block,text,"[42.48, 436.68, 197.64, 456.48]","[42.48, 436.68, 197.64, 456.48]",,"3. Comments are due no later than July 13, 2015.",,,11,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0012,paragraph,text_block,text,"[43.2, 456.48, 208.08, 487.44]","[43.2, 456.48, 208.08, 487.44]",,4. The Secretary shall arrange for publication of this order in the Federal Register.,,,12,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0016,paragraph,text_block,text,"[42.84, 607.32, 154.08, 631.4399999999999]","[42.84, 607.32, 154.08, 631.4399999999999]",,"AGENCY: Postal Service™.
ACTION: Notice.",,,16,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0018,heading,title,title,"[220.32, 59.03999999999999, 363.6, 68.76]","[220.32, 59.03999999999999, 363.6, 68.76]",,SUPPLEMENTARY INFORMATION: Th,,,18,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0023,paragraph,text_block,text,"[219.96, 278.64, 330.84, 301.68]","[219.96, 278.64, 330.84, 301.68]",,"AGENCY: Postal Service™.
ACTION: Notice.",,,23,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0024,paragraph,text_block,text,"[219.96, 306.71999999999997, 387.36, 377.28000000000003]","[219.96, 306.71999999999997, 387.36, 377.28000000000003]",,SUMMARY: The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule’s Competitive Products List.,,,24,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0025,paragraph,text_block,text,"[219.96, 383.4, 375.48, 411.11999999999995]","[219.96, 383.4, 375.48, 411.11999999999995]",,"DATES: Effective date: July 10, 2015
FOR FURTHER INFORMATION CONTACT: Elizabeth A. Reed, 202-268-3179.",,,25,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0030,paragraph,text_block,text,"[219.96, 641.88, 331.2, 665.28]","[219.96, 641.88, 331.2, 665.28]",,"AGENCY: Postal Service™.
ACTION: Notice.",,,30,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0036,paragraph,text_block,text,"[397.08, 323.64, 567.72, 420.11999999999995]","[397.08, 323.64, 567.72, 420.11999999999995]",,"Federal Register Citation of Previous Announcement: [80 FR 38782, July 7, 2015]
STATUS: Closed Meeting.
PLACE: 100 F Street NE., Washington, DC.
DATE AND TIME OF PREVIOUSLY ANNOUNCED MEETING: Thursday, July 9, 2015 at 2 p.m.",,,36,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0037,paragraph,text_block,text,"[397.44, 418.68000000000006, 556.9200000000001, 428.4]","[397.44, 418.68000000000006, 556.9200000000001, 428.4]",,CHANGE IN THE MEETING: Time Change.,,,37,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,1,p0001_b0042,paragraph,text_block,text,"[396.36, 654.12, 567.36, 706.68]","[396.36, 654.12, 567.36, 706.68]",,"In the Matter of International Hi-Tech Industries Inc., Mark One Global Industries, Inc., Nortel Networks Corporation, and Silverado Gold Mines Ltd.; Order of Suspension of Trading",,,42,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2\paddle_vl_gpu\document.json,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,612.0,792.0,1700,2200
scihub_c2gc35284b.pdf_6,scihub_c2gc35284b.pdf_6,1,1,p0001_b0000,paragraph,text_block,text,"[3.600000014760618, 129.96000162760416, 14.040000057566411, 477.00000597389345]","[10.0, 361.0, 39.0, 1325.0000000000002]",,Published on 21 March 2012. Downloaded by University of Hong Kong Libraries on 12/06/2013 18:10:06.,,,0,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\scihub_c2gc35284b.pdf_6\paddle_vl_gpu\document.json,scihub_c2gc35284b.pdf_6.pdf,595.4400024414062,779.760009765625,1654,2166
