sample_id,doc_id,page_num,omni_page_no,gt_id,label,eval_label,bbox,polygon,text,latex,html,reading_order,width,height,coordinate_space,attributes
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,30,text_block,text,"[43.950789176553954, 466.1110289477375, 122.8099441061314, 474.6321557083009]","[43.950789176553954, 466.1110289477375, 122.8099441061314, 466.1110289477375, 122.8099441061314, 474.6321557083009, 43.950789176553954, 474.6321557083009]",BILLING COOE 4333-16-P,,,20.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,16,title,title,"[43.14874923613595, 491.93768771311494, 205.10701340313238, 602.030163355333]","[43.14874923613595, 491.93768771311494, 205.10701340313238, 491.93768771311494, 205.10701340313238, 602.030163355333, 43.14874923613595, 602.030163355333]",DEPARTMENT OF THE INTERIOR Fish and Wildlite Servlce 50 CFR Part 17 [4500090022] Endangered and Threatened Wildlife and Plants; 12-Month Findings on Petitions To List 10 Species as Endangered or Threatened Specles,,,21.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,55,text_block,text,"[41.299155062210204, 335.4267330745146, 213.92722798721968, 486.6594760784277]","[41.299155062210204, 335.4267330745146, 213.92722798721968, 335.4267330745146, 213.92722798721968, 486.6594760784277, 41.299155062210204, 486.6594760784277]","\t1. The Commission establishes Dockel Nos. MC201561 and CP201592 to consider the matters raised in each docket.
\t2. Pursuant to 39 U.S.C. 505, Kenneth R. Moeller is appointed to serve as an officer of the Commission to represent the interests of the general public in these proceedings (Publie Representative).
\t3. Comments are due no laler than Julv 13, 2015.
\t4. The Secretary shall arrange for publication of this order in the Federal Register.",,,8.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,4,text_block,text,"[51.87668767444861, 490.08666576819047, 127.18186724462313, 499.132332983827]","[51.87668767444861, 490.08666576819047, 127.18186724462313, 490.08666576819047, 127.18186724462313, 499.132332983827, 51.87668767444861, 499.132332983827]",By the Commission.,,,13.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,6,title,title,"[43.79877903294354, 500.4184069694803, 121.0981170574743, 509.87524087673677]","[43.79877903294354, 500.4184069694803, 121.0981170574743, 500.4184069694803, 121.0981170574743, 509.87524087673677, 43.79877903294354, 509.87524087673677]","Shoshana M. Grove,",,,14.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,18,text_block,text,"[44.073435089012825, 608.2877593303492, 152.6449750000038, 618.134945508323]","[44.073435089012825, 608.2877593303492, 152.6449750000038, 608.2877593303492, 152.6449750000038, 618.134945508323, 44.073435089012825, 618.134945508323]",AGENcy: Postal Service $ ^{T M} $ .,,,18.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,19,text_block,text,"[43.59835462182656, 620.9156536195619, 107.98380270857706, 629.5003800311285]","[43.59835462182656, 620.9156536195619, 107.98380270857706, 620.9156536195619, 107.98380270857706, 629.5003800311285, 43.59835462182656, 629.5003800311285]",ACTIoN: Notice.,,,19.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,53,text_block,text,"[42.59224177345819, 708.6974401388657, 193.82498477737136, 742.1093252211253]","[42.59224177345819, 708.6974401388657, 193.82498477737136, 708.6974401388657, 193.82498477737136, 742.1093252211253, 42.59224177345819, 742.1093252211253]","DATEs: E)/fectiwe date: July 10, 2015. FORFURTHERINFORMATIONCONTACT: Elizabeth A. Reed, 202-268-3179.",,,21.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,17,title,title,"[220.50336589407678, 175.293663119061, 285.35683491771374, 184.18099035563347]","[220.50336589407678, 175.293663119061, 285.35683491771374, 175.293663119061, 285.35683491771374, 184.18099035563347, 220.50336589407678, 184.18099035563347]","Stanley F. Mires,",,,23.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,22,text_block,text,"[220.61003116965026, 278.76736513774796, 329.77981567793796, 288.91693694010576]","[220.61003116965026, 278.76736513774796, 329.77981567793796, 278.76736513774796, 329.77981567793796, 288.91693694010576, 220.61003116965026, 288.91693694010576]",AGENcY: Postal Service $ ^{T M} $ .,,,27.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,30,text_block,text,"[221.44270114013196, 291.61748819572205, 284.23051783321023, 299.26905008663476]","[221.44270114013196, 291.61748819572205, 284.23051783321023, 291.61748819572205, 284.23051783321023, 299.26905008663476, 221.44270114013196, 299.26905008663476]",ACTon: Notice.,,,28.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,26,title,title,"[221.35540756033075, 527.5646112030746, 285.4443055659404, 536.8044216517361]","[221.35540756033075, 527.5646112030746, 285.4443055659404, 527.5646112030746, 285.4443055659404, 536.8044216517361, 221.35540756033075, 536.8044216517361]","Stanley F. Mires,",,,30.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,39,text_block,text,"[221.42505265858483, 643.0133550135187, 329.49764749835845, 651.4939006850502]","[221.42505265858483, 643.0133550135187, 329.49764749835845, 643.0133550135187, 329.49764749835845, 651.4939006850502, 221.42505265858483, 651.4939006850502]",AGENcy: Postal Servicn $ ^{T M} $ .,,,34.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,38,text_block,text,"[221.11415323049093, 654.7466393069266, 284.3723027617284, 662.6233813682023]","[221.11415323049093, 654.7466393069266, 284.3723027617284, 654.7466393069266, 284.3723027617284, 662.6233813682023, 221.11415323049093, 662.6233813682023]",ACTIoN: Notice.,,,35.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,52,title,title,"[398.4883866464782, 217.93996043862975, 462.00644440656134, 225.6202484684437]","[398.4883866464782, 217.93996043862975, 462.00644440656134, 217.93996043862975, 462.00644440656134, 225.6202484684437, 398.4883866464782, 225.6202484684437]","Stanley F. Mires,",,,38.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,41,text_block,text,"[397.47659829716065, 322.7605849989023, 554.0965903893302, 353.0910008297731]","[397.47659829716065, 322.7605849989023, 554.0965903893302, 322.7605849989023, 554.0965903893302, 353.0910008297731, 397.47659829716065, 353.0910008297731]","Federal Register Citation of Previous Announcement: [80 FR 38782, July 7, 2015]",,,42.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,35,text_block,text,"[397.2472162573553, 355.2331384242891, 500.00457333952994, 366.999248013851]","[397.2472162573553, 355.2331384242891, 500.00457333952994, 355.2331384242891, 500.00457333952994, 366.999248013851, 397.2472162573553, 366.999248013851]",STATus: Closed Meeting.,,,43.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,31,text_block,text,"[397.92608140162787, 366.3248912402112, 552.4543206778752, 385.4121356855005]","[397.92608140162787, 366.3248912402112, 552.4543206778752, 366.3248912402112, 552.4543206778752, 385.4121356855005, 397.92608140162787, 385.4121356855005]","PLACE: 100 F Street NE., Washinglon, DC.",,,44.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,37,text_block,text,"[398.72427805337475, 386.76058499890235, 567.894787041077, 418.9212845437051]","[398.72427805337475, 386.76058499890235, 567.894787041077, 386.76058499890235, 567.894787041077, 418.9212845437051, 398.72427805337475, 418.9212845437051]","DATE AND TIME OF PREVIOUSLY ANNOUNCED VEETNG: Thursday. July 9, 2015 al 2 P.m.",,,45.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,34,text_block,text,"[406.48280581908654, 541.1088300865306, 477.797806098392, 549.8190591282778]","[406.48280581908654, 541.1088300865306, 477.797806098392, 541.1088300865306, 477.797806098392, 549.8190591282778, 406.48280581908654, 549.8190591282778]","Dated: July 7, 2015.",,,48.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,36,title,title,"[398.2404816432183, 552.106843977311, 453.8041844663475, 560.880060212542]","[398.2404816432183, 552.106843977311, 453.8041844663475, 552.106843977311, 453.8041844663475, 560.880060212542, 398.2404816432183, 560.880060212542]","Brent I. Fields,",,,49.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,47,title,title,"[399.14395769764, 611.4793284116112, 528.9425671265697, 630.8253949816074]","[399.14395769764, 611.4793284116112, 528.9425671265697, 611.4793284116112, 528.9425671265697, 630.8253949816074, 399.14395769764, 630.8253949816074]",SECURITIES AND EXCHANGE COMMISSION,,,51.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,45,title,title,"[397.61845458450006, 654.3754864567238, 565.6592886285389, 705.8900125559003]","[397.61845458450006, 654.3754864567238, 565.6592886285389, 654.3754864567238, 565.6592886285389, 705.8900125559003, 397.61845458450006, 705.8900125559003]","In the Matter ot International Hi-Tech Industries Inc., Mark One Global Industrles,Inc.,Nortel Networks Corporation, and Silverado Gold Mines Ltd.; Order of Suspenslon of Trading",,,53.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,1,2,56,text_block,text,"[397.9827179564437, 710.7344334516818, 446.928198734842, 721.5786417678539]","[397.9827179564437, 710.7344334516818, 446.928198734842, 710.7344334516818, 446.928198734842, 721.5786417678539, 397.9827179564437, 721.5786417678539]","July 8, 2015.",,,54.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
scihub_c2gc35284b.pdf_6,scihub_c2gc35284b.pdf_6,1,2798,6,table_footnote,table_footnote,"[111.66024382882735, 1029.1391908546377, 1539.491578810422, 1109.9005740539565]","[111.66024382882735, 1029.1391908546377, 1539.491578810422, 1029.1391908546377, 1539.491578810422, 1109.9005740539565, 111.66024382882735, 1109.9005740539565]","$ ^a $ Reaction conditions: aldehyde  (0.250 mmol),amine (0.300 mmol),alkyne (0.325 mmol),catalyst (0.07 g),the reaction temperatures are 120,150, and on 4.6% Au/IRMOF-3, 0.6% Au/IRMOF-3,and 3.2% Au/IRMOF-3 catalysts, respectively. $ ^b $ The reaction time was not optimization. $ ^c $ GC yield or conversion based on aldehydes,the product was determined by GC-MS,and $ ^1 $ H-NMR.",,,2.0,1654,2166,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
scihub_c2gc35284b.pdf_6,scihub_c2gc35284b.pdf_6,1,2798,3,table_mask,table_mask,"[111.11111111111087, 201.15850075017977, 1547.8919971897556, 1015.4976900341953]","[111.11111111111087, 201.15850075017977, 1547.8919971897556, 201.15850075017977, 1547.8919971897556, 1015.4976900341953, 111.11111111111087, 1015.4976900341953]",,,,,1654,2166,image_pixels,{}
yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13,yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13,1,4714,12,text_block,text,"[91.04892745149164, 751.8827110281522, 997.8452498359152, 1057.4631267469308]","[91.04892745149164, 751.8827110281522, 997.8452498359152, 751.8827110281522, 997.8452498359152, 1057.4631267469308, 91.04892745149164, 1057.4631267469308]","- Ramin Kouzehkanani, ClO, Hillsborough County
- Commissioner Sandra Murman, Hillsborough County
- Patrick Minzie, lI, Director, Department of Children's Services Hillsborough County
- Christopher Card, Chief of Community-Based Care, Eckerd Connects
- Heather Cazzola, Director of Diversion & Prevention, Eckerd Connects",,,5.0,2662,1500,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
